source_prefix	source_identifier	source_name	relation	target_prefix	target_identifier	target_name
decopath	DC1-3-2	Cholesterol biosynthesis	BFO:0000050	kegg.pathway	hsa04979	Cholesterol metabolism - Homo sapiens (human)
decopath	DC1-3-3	Fatty acid metabolism	BFO:0000050	decopath	DC1-3	Lipid metabolism
decopath	DC1-3-3-1	Fatty acid biosynthesis	BFO:0000050	decopath	DC1-3-3	Fatty acid metabolism
decopath	DC1-3-3-2	Fatty acid degradation	BFO:0000050	decopath	DC1-3-3	Fatty acid metabolism
decopath	DC1-3-3-2-1	Fatty acid beta oxidation	BFO:0000050	decopath	DC1-3-3-2	Fatty acid degradation
decopath	DC1-3-3-2-1-1	Mitochondrial LC-Fatty Acid Beta-Oxidation	BFO:0000050	reactome	R-HSA-77289	Mitochondrial Fatty Acid Beta-Oxidation
decopath	DC1-3-3-3	Arachidonic acid metabolism	BFO:0000050	decopath	DC1-3-3	Fatty acid metabolism
decopath	DC1-3-3-4	Bile acid biosynthesis	BFO:0000050	decopath	DC1-3	Lipid metabolism
decopath	DC1-3-3-5	Sphingolipid metabolism	BFO:0000050	decopath	DC1-3	Lipid metabolism
decopath	DC1-3-4	Steroid metabolism	BFO:0000050	decopath	DC1-3	Lipid metabolism
decopath	DC1-3-4-1	Steroid biosynthesis	BFO:0000050	decopath	DC1-3-4	Steroid metabolism
decopath	DC1-3-5	Glycerolipid metabolism	BFO:0000050	decopath	DC1-3	Lipid metabolism
decopath	DC1-3-5-1	Glycerophospholipid biosynthesis	BFO:0000050	decopath	DC1-3-5	Glycerophospholipid metabolism
decopath	DC1-3-6	Glycerophospholipid metabolism	BFO:0000050	decopath	DC1-3	Lipid metabolism
decopath	DC1-3-7	Triglyceride biosynthesis	BFO:0000050	decopath	DC1-3	Lipid metabolism
decopath	DC1-3-8	Ketone body metabolism	BFO:0000050	decopath	DC1-3	Lipid metabolism
decopath	DC1-3-9	Inositol phosphate metabolism	BFO:0000050	decopath	DC1-3	Lipid metabolism
decopath	DC1-4	Nucleotide metabolism	BFO:0000050	decopath	DC1	Metabolism
decopath	DC1-4-1	Purine metabolism	BFO:0000050	decopath	DC1-4	Nucleotide metabolism
decopath	DC1-4-2	Pyrimidine metabolism	BFO:0000050	decopath	DC1-4	Nucleotide metabolism
decopath	DC1-5	Vitamin metabolism	BFO:0000050	decopath	DC1	Metabolism
decopath	DC1-5-0-1	Retinol Metabolism	BFO:0000050	wikipathways	WP716	Vitamin A and Carotenoid Metabolism
decopath	DC1-5-0-2	Biotin Metabolism	BFO:0000050	reactome	R-HSA-196780	Biotin transport and metabolism
decopath	DC1-5-1	Folate metabolism	BFO:0000050	decopath	DC1-5	Vitamin metabolism
decopath	DC1-5-2	Pantothenate and CoA biosynthesis	BFO:0000050	decopath	DC1-5	Vitamin metabolism
decopath	DC1-5-3	Riboflavin metabolism	BFO:0000050	decopath	DC1-5	Vitamin metabolism
decopath	DC1-5-4	Vitamin D metabolism	BFO:0000050	decopath	DC1-5	Vitamin metabolism
decopath	DC1-5-5	Vitamin B6 metabolism	BFO:0000050	decopath	DC1-5	Vitamin metabolism
decopath	DC1-5-6	Vitamin A and Carotenoid Metabolism	BFO:0000050	decopath	DC1-5	Vitamin metabolism
decopath	DC1-5-7	 Molybdenum cofactor biosynthesis	BFO:0000050	decopath	DC1-5	Vitamin metabolism
decopath	DC1-6	Other metabolic pathways	BFO:0000050	decopath	DC1	Metabolism
decopath	DC1-6-0-1	Gastric acid secretion	BFO:0000050	pathbank	PW000565	Gastric Acid Production
decopath	DC1-6-1	Heme biosynthesis	BFO:0000050	decopath	DC1-6	Other metabolic pathways
decopath	DC1-6-10	Proteasome	BFO:0000050	decopath	DC1-6	Other metabolic pathways
decopath	DC1-6-11	Glycan biosynthesis and metabolism	BFO:0000050	decopath	DC1-6	Other metabolic pathways
decopath	DC1-6-11-1-1	 Synthesis of glycosylphosphatidylinositol (GPI)	BFO:0000050	kegg.pathway	hsa00510	N-Glycan biosynthesis
decopath	DC1-6-2-1	Caffeine metabolism	BFO:0000050	wikipathways	WP3633	Caffeine and Theobromine metabolism
decopath	DC1-6-3	Oxidative phosphorylation	BFO:0000050	decopath	DC1-6	Other metabolic pathways
decopath	DC1-6-4	Electron transport chain	BFO:0000050	decopath	DC1-6	Other metabolic pathways
decopath	DC1-6-5	Thermogenesis	BFO:0000050	decopath	DC1-6	Other metabolic pathways
decopath	DC1-6-6	Thyroid hormone synthesis	BFO:0000050	decopath	DC1-6	Other metabolic pathways
decopath	DC1-6-7	Vasopressin-regulated water reabsorption	BFO:0000050	decopath	DC1-6	Other metabolic pathways
decopath	DC1-6-8	Glucuronidation	BFO:0000050	reactome	R-HSA-156580	Phase II - Conjugation of compounds
decopath	DC1-6-9	Nicotinate and nicotinamide metabolism	BFO:0000050	decopath	DC1-6	Other metabolic pathways
decopath	DC2-1	Adaptive immune system	BFO:0000050	decopath	DC2	Immune system
decopath	DC2-1-1	BCR Signaling Pathway 	BFO:0000050	decopath	DC2-1	Adaptive immune system
decopath	DC2-1-2	Allograft Rejection 	BFO:0000050	decopath	DC2-1	Adaptive immune system
decopath	DC2-1-3	Rap1 signalling 	BFO:0000050	decopath	DC2-1	Adaptive immune system
decopath	DC2-1-4	T Cell Receptor Signaling Pathway 	BFO:0000050	decopath	DC2-1	Adaptive immune system
decopath	DC2-2	Innate immune system	BFO:0000050	decopath	DC2	Immune system
decopath	DC2-2-1	RIG-I-like receptor signaling pathway	BFO:0000050	decopath	DC2-2	Innate immune system
decopath	DC2-2-2	Toll-like receptor (TLR) signaling pathway	BFO:0000050	decopath	DC2-2	Innate immune system
decopath	DC2-2-3	Complement and coagulation cascades	BFO:0000050	decopath	DC2-2	Innate immune system
decopath	DC2-2-3-1	Complement activation	BFO:0000050	decopath	DC2-2-3	Complement and coagulation cascades
decopath	DC2-2-4	Fc epsilon RI signaling pathway 	BFO:0000050	decopath	DC2-2	Innate immune system
decopath	DC2-2-5	Fcgamma receptor (FCGR) dependent phagocytosis 	BFO:0000050	decopath	DC2-2	Innate immune system
decopath	DC2-2-6-1	Macroautophagy	BFO:0000050	reactome	R-HSA-9612973	Autophagy
decopath	DC2-2-6-2	Mitophagy	BFO:0000050	reactome	R-HSA-9612973	Autophagy
decopath	DC2-3	Cytokine signaling in immune system	BFO:0000050	decopath	DC2	Immune system
decopath	DC2-3-1	Interleukin signaling pathway	BFO:0000050	decopath	DC2-3	Cytokine signaling in immune system
decopath	DC2-3-1-1	IL-1 signaling pathway	BFO:0000050	decopath	DC2-3-1	Interleukin signaling pathway
decopath	DC2-3-1-2	IL-2 signaling pathway	BFO:0000050	decopath	DC2-3-1	Interleukin signaling pathway
decopath	DC2-3-1-3	IL-6 signaling pathway	BFO:0000050	decopath	DC2-3-1	Interleukin signaling pathway
decopath	DC2-3-1-4	IL-7 signaling pathway	BFO:0000050	decopath	DC2-3-1	Interleukin signaling pathway
decopath	DC2-3-1-5	IL-9 signaling pathway	BFO:0000050	decopath	DC2-3-1	Interleukin signaling pathway
decopath	DC2-3-1-6	IL-17 signaling pathway	BFO:0000050	decopath	DC2-3-1	Interleukin signaling pathway
decopath	DC2-3-2	Interferon gamma signaling 	BFO:0000050	decopath	DC2-3	Cytokine signaling in immune system
decopath	DC2-3-3	Chemokine signaling pathway	BFO:0000050	decopath	DC2-3	Cytokine signaling in immune system
decopath	DC3-1	Signaling by NOTCH 	BFO:0000050	decopath	DC3	Signaling
decopath	DC3-10	Signaling by Leptin 	BFO:0000050	decopath	DC3	Signaling
decopath	DC3-11	Signaling by WNT 	BFO:0000050	decopath	DC3	Signaling
decopath	DC3-12	Oxytocin signaling pathway	BFO:0000050	decopath	DC3	Signaling
decopath	DC3-13	p53 signaling pathway	BFO:0000050	decopath	DC3	Signaling
decopath	DC3-14	Olfactory signaling pathway	BFO:0000050	decopath	DC3	Signaling
decopath	DC3-15	Prolactin receptor signaling pathway	BFO:0000050	decopath	DC3	Signaling
decopath	DC3-16	AMP-activated protein kinase (AMPK) signaling pathway	BFO:0000050	decopath	DC3	Signaling
decopath	DC3-17	PPA receptor signaling pathway	BFO:0000050	decopath	DC3	Signaling
decopath	DC3-18	Bone morphogenic protein (BMP) signaling pathway	BFO:0000050	decopath	DC3	Signaling
decopath	DC3-19	ErbB signaling pathway	BFO:0000050	decopath	DC3	Signaling
decopath	DC3-2	Signaling by Hedgehog 	BFO:0000050	decopath	DC3	Signaling
decopath	DC3-20	Ras signaling pathway	BFO:0000050	decopath	DC3	Signaling
decopath	DC3-21-1-1	GPCRs, Class A Rhodopsin-like pathway	BFO:0000050	reactome	R-HSA-500792	GPCR ligand binding
decopath	DC3-21-1-2	GPCRs, Class B Secretin-like pathway	BFO:0000050	reactome	R-HSA-500792	GPCR ligand binding
decopath	DC3-21-1-3	GPCRs, Class C Metabotropic glutamate pathway	BFO:0000050	reactome	R-HSA-500792	GPCR ligand binding
decopath	DC3-21-4-1	Visual phototransduction	BFO:0000050	reactome	R-HSA-418594	G alpha (i) signalling events
decopath	DC3-22	Signaling by TGF-beta Receptor Complex	BFO:0000050	decopath	DC3	Signaling
decopath	DC3-25	Estrogen signaling pathway	BFO:0000050	decopath	DC3	Signaling
decopath	DC3-26	GnRH signaling pathway	BFO:0000050	decopath	DC3	Signaling
decopath	DC3-3	Hippo signaling pathway	BFO:0000050	decopath	DC3	Signaling
decopath	DC3-30	GPR40 signaling pathway	BFO:0000050	decopath	DC3	Signaling
decopath	DC3-31	Insulin signaling pathway 	BFO:0000050	decopath	DC3	Signaling
decopath	DC3-32	NF-kappa B signaling pathway	BFO:0000050	decopath	DC3	Signaling
decopath	DC3-33	Glucagon signaling pathway	BFO:0000050	decopath	DC3	Signaling
decopath	DC3-34	GABA receptor activation pathway	BFO:0000050	decopath	DC3	Signaling
decopath	DC3-4	PI3K-AKT-mTOR signaling pathway 	BFO:0000050	decopath	DC3	Signaling
decopath	DC3-4-1	PI3K-Akt Signaling Pathway 	BFO:0000050	decopath	DC3-4	PI3K-AKT-mTOR signaling pathway 
decopath	DC3-5	TNF signaling pathway	BFO:0000050	decopath	DC3	Signaling
decopath	DC3-6	TGF-beta signaling pathway 	BFO:0000050	decopath	DC3	Signaling
decopath	DC3-6-1	TGF-beta receptor signaling in Epithelial to Mesenchymal Transition (EMT) 	BFO:0000050	decopath	DC3-6	TGF-beta signaling pathway 
decopath	DC3-7	VEGFA-VEGFR2 Pathway 	BFO:0000050	decopath	DC3	Signaling
decopath	DC3-8	Aryl hydrocarbon receptor signaling pathway	BFO:0000050	decopath	DC3	Signaling
decopath	DC3-9	MAP kinse (MAPK) signaling pathway	BFO:0000050	decopath	DC3	Signaling
decopath	DC3-9-1	p38 MAPK signaling pathway	BFO:0000050	decopath	DC3-9	MAP kinse (MAPK) signaling pathway
decopath	DC4-1	Cell-cell communication	BFO:0000050	decopath	DC4	Communication and transport
decopath	DC4-1-1-1	Tight junctions	BFO:0000050	reactome	R-HSA-421270	Cell-cell junction organization
decopath	DC4-1-1-2	Adherens junctions interactions	BFO:0000050	reactome	R-HSA-421270	Cell-cell junction organization
decopath	DC4-1-2	Focal Adhesion	BFO:0000050	decopath	DC4-1	Cell-cell communication
decopath	DC4-2	Transport-related pathways	BFO:0000050	decopath	DC4	Communication and transport
decopath	DC4-2-1	ABC transporters	BFO:0000050	decopath	DC4-2	Transport-related pathways
decopath	DC5-1	Necrosis pathway	BFO:0000050	decopath	DC5	Programmed cell death
decopath	DC5-2	Apoptosis pathway	BFO:0000050	decopath	DC5	Programmed cell death
decopath	DC5-3	Ferroptosis pathway	BFO:0000050	decopath	DC5	Programmed cell death
decopath	DC6-1	Type II diabetes mellitus	BFO:0000050	decopath	DC6	Disease pathways
decopath	DC6-10-1	Bladder cancer	BFO:0000050	kegg.pathway	hsa05200	Pathways in cancer - Homo sapiens (human)
decopath	DC6-10-2	Endometrial cancer	BFO:0000050	kegg.pathway	hsa05200	Pathways in cancer - Homo sapiens (human)
decopath	DC6-2	Influenza	BFO:0000050	decopath	DC6	Disease pathways
decopath	DC6-3	Pathogenic Escherichia coli infection	BFO:0000050	decopath	DC6	Disease pathways
decopath	DC6-4	Amyotrophic lateral sclerosis	BFO:0000050	decopath	DC6	Disease pathways
decopath	DC6-5	Prion disease	BFO:0000050	decopath	DC6	Disease pathways
decopath	DC6-6	Arrhythmogenic right ventricular cardiomyopathy	BFO:0000050	decopath	DC6	Disease pathways
decopath	DC6-7	Fanconi anemia	BFO:0000050	decopath	DC6	Disease pathways
decopath	DC6-8	Parkinson's disease	BFO:0000050	decopath	DC6	Disease pathways
decopath	DC6-9	Alzheimer's disease	BFO:0000050	decopath	DC6	Disease pathways
decopath	DC7-1	DNA repair	BFO:0000050	decopath	DC7	DNA repair and replication
decopath	DC7-1-1	Nucleotide excision repair	BFO:0000050	decopath	DC7-1	DNA repair
decopath	DC7-1-2	Mismatch repair	BFO:0000050	decopath	DC7-1	DNA repair
decopath	DC7-1-3	Homologous recombination	BFO:0000050	decopath	DC7-1	DNA repair
decopath	DC7-1-4	Base excision repair	BFO:0000050	decopath	DC7-1	DNA repair
decopath	DC7-1-5-1	Non-homologous end joining	BFO:0000050	reactome	R-HSA-5693532	DNA Double-Strand Break Repair
decopath	DC7-2	DNA replication	BFO:0000050	decopath	DC7	DNA repair and replication
decopath	DC8-1	Striated muscle contraction	BFO:0000050	reactome	R-HSA-397014	Muscle contraction
decopath	DC8-10	miRNA biogenesis	BFO:0000050	decopath	DC8	Others
decopath	DC8-11	Methylation	BFO:0000050	decopath	DC8	Others
decopath	DC8-2	Developmental biology and cell differentiation	BFO:0000050	decopath	DC8	Others
decopath	DC8-2-0-1	Axon guidance	BFO:0000050	reactome	R-HSA-9675108	Nervous system development
decopath	DC8-3	Ubiquitin-proteasome pathway	BFO:0000050	decopath	DC8	Others
decopath	DC8-4	Regulation of actin cytoskeleton	BFO:0000050	decopath	DC8	Others
decopath	DC8-5	Neuronal System	BFO:0000050	decopath	DC8	Others
decopath	DC8-5-1	Synaptic vesicle cycle	BFO:0000050	decopath	DC8-5	Neuronal System
decopath	DC8-6	Cell cycle	BFO:0000050	decopath	DC8	Others
decopath	DC8-7	Cellular senescence	BFO:0000050	decopath	DC8	Others
decopath	DC8-8	Circadian rhythms	BFO:0000050	decopath	DC8	Others
decopath	DC8-9	Insulin secretion	BFO:0000050	decopath	DC8	Others
kegg.pathway	hsa00010	Glycolysis / Gluconeogenesis - Homo sapiens (human)	BFO:0000050	decopath	DC1-2-9-1	Glycolysis and Gluconeogenesis
kegg.pathway	hsa00010	Glycolysis / Gluconeogenesis - Homo sapiens (human)	BFO:0000050	reactome	R-HSA-1430728	Metabolism
kegg.pathway	hsa00010	Glycolysis / Gluconeogenesis - Homo sapiens (human)	BFO:0000050	reactome	R-HSA-70326	Glucose metabolism
kegg.pathway	hsa00010	Glycolysis / Gluconeogenesis - Homo sapiens (human)	BFO:0000050	reactome	R-HSA-71387	Metabolism of carbohydrates
kegg.pathway	hsa00010	Glycolysis / Gluconeogenesis - Homo sapiens (human)	skos:exactMatch	wikipathways	WP534	Glycolysis and Gluconeogenesis
kegg.pathway	hsa00010	Glycolysis / Gluconeogenesis - Homo sapiens (human)	skos:exactMatch	wikipathways	WP534	Glycolysis and Gluconeogenesis
kegg.pathway	hsa00020	Citrate cycle (TCA cycle) - Homo sapiens (human)	BFO:0000050	decopath	DC1-2-2	Citric acid cycle (TCA)
kegg.pathway	hsa00020	Citrate cycle (TCA cycle) - Homo sapiens (human)	skos:exactMatch	reactome	R-HSA-71403	Citric acid cycle (TCA cycle)
kegg.pathway	hsa00020	Citrate cycle (TCA cycle) - Homo sapiens (human)	skos:exactMatch	reactome	R-HSA-71403	Citric acid cycle (TCA cycle)
kegg.pathway	hsa00020	Citrate cycle (TCA cycle) - Homo sapiens (human)	skos:exactMatch	wikipathways	WP78	TCA Cycle
kegg.pathway	hsa00020	Citrate cycle (TCA cycle) - Homo sapiens (human)	skos:exactMatch	wikipathways	WP78	TCA Cycle
kegg.pathway	hsa00030	Pentose phosphate pathway - Homo sapiens (human)	BFO:0000050	decopath	DC1-2-1	Pentose phosphate pathway
kegg.pathway	hsa00030	Pentose phosphate pathway - Homo sapiens (human)	skos:exactMatch	reactome	R-HSA-71336	Pentose phosphate pathway (hexose monophosphate shunt)
kegg.pathway	hsa00030	Pentose phosphate pathway - Homo sapiens (human)	skos:exactMatch	reactome	R-HSA-71336	Pentose phosphate pathway (hexose monophosphate shunt)
kegg.pathway	hsa00030	Pentose phosphate pathway - Homo sapiens (human)	skos:exactMatch	wikipathways	WP134	Pentose Phosphate Pathway
kegg.pathway	hsa00030	Pentose phosphate pathway - Homo sapiens (human)	skos:exactMatch	wikipathways	WP134	Pentose Phosphate Pathway
kegg.pathway	hsa00030	Pentose phosphate pathway - Homo sapiens (human)	BFO:0000050	wikipathways	WP534	Glycolysis and Gluconeogenesis
kegg.pathway	hsa00040	Pentose and glucuronate interconversions - Homo sapiens (human)	BFO:0000050	reactome	R-HSA-1430728	Metabolism
kegg.pathway	hsa00040	Pentose and glucuronate interconversions - Homo sapiens (human)	BFO:0000050	wikipathways	WP698	Glucuronidation
kegg.pathway	hsa00051	Fructose and mannose metabolism - Homo sapiens (human)	BFO:0000050	reactome	R-HSA-1430728	Metabolism
kegg.pathway	hsa00052	Galactose metabolism - Homo sapiens (human)	BFO:0000050	decopath	DC1-2-4	Galactose metabolism
kegg.pathway	hsa00053	Ascorbate and aldarate metabolism - Homo sapiens (human)	BFO:0000050	reactome	R-HSA-1430728	Metabolism
kegg.pathway	hsa00061	Fatty acid biosynthesis - Homo sapiens (human)	BFO:0000050	decopath	DC1-3-3-1	Fatty acid biosynthesis
kegg.pathway	hsa00061	Fatty acid biosynthesis - Homo sapiens (human)	BFO:0000050	reactome	R-HSA-1430728	Metabolism
kegg.pathway	hsa00061	Fatty acid biosynthesis - Homo sapiens (human)	skos:exactMatch	wikipathways	WP357	Fatty Acid Biosynthesis
kegg.pathway	hsa00061	Fatty acid biosynthesis - Homo sapiens (human)	skos:exactMatch	wikipathways	WP357	Fatty Acid Biosynthesis
kegg.pathway	hsa00062	Fatty acid elongation - Homo sapiens (human)	BFO:0000050	reactome	R-HSA-1430728	Metabolism
kegg.pathway	hsa00062	Fatty acid elongation - Homo sapiens (human)	BFO:0000050	reactome	R-HSA-211935	Fatty acids
kegg.pathway	hsa00062	Fatty acid elongation - Homo sapiens (human)	BFO:0000050	reactome	R-HSA-556833	Metabolism of lipids
kegg.pathway	hsa00062	Fatty acid elongation - Homo sapiens (human)	BFO:0000050	reactome	R-HSA-8978868	Fatty acid metabolism
kegg.pathway	hsa00071	Fatty acid degradation - Homo sapiens (human)	BFO:0000050	decopath	DC1-3-3-2	Fatty acid degradation
kegg.pathway	hsa00071	Fatty acid degradation - Homo sapiens (human)	BFO:0000050	reactome	R-HSA-1430728	Metabolism
kegg.pathway	hsa00071	Fatty acid degradation - Homo sapiens (human)	BFO:0000050	reactome	R-HSA-556833	Metabolism of lipids
kegg.pathway	hsa00071	Fatty acid degradation - Homo sapiens (human)	BFO:0000050	reactome	R-HSA-8978868	Fatty acid metabolism
kegg.pathway	hsa00072	Synthesis and degradation of ketone bodies - Homo sapiens (human)	BFO:0000050	decopath	DC1-3-8	Ketone body metabolism
kegg.pathway	hsa00072	Synthesis and degradation of ketone bodies - Homo sapiens (human)	BFO:0000050	reactome	R-HSA-1430728	Metabolism
kegg.pathway	hsa00072	Synthesis and degradation of ketone bodies - Homo sapiens (human)	skos:exactMatch	reactome	R-HSA-74182	Ketone body metabolism
kegg.pathway	hsa00072	Synthesis and degradation of ketone bodies - Homo sapiens (human)	skos:exactMatch	reactome	R-HSA-74182	Ketone body metabolism
kegg.pathway	hsa00072	Synthesis and degradation of ketone bodies - Homo sapiens (human)	skos:exactMatch	wikipathways	WP311	Synthesis and Degradation of Ketone Bodies
kegg.pathway	hsa00072	Synthesis and degradation of ketone bodies - Homo sapiens (human)	skos:exactMatch	wikipathways	WP311	Synthesis and Degradation of Ketone Bodies
kegg.pathway	hsa00100	Steroid biosynthesis - Homo sapiens (human)	BFO:0000050	decopath	DC1-3-4-1	Steroid biosynthesis
kegg.pathway	hsa00100	Steroid biosynthesis - Homo sapiens (human)	BFO:0000050	decopath	DC1-3-4-1	Steroid biosynthesis
kegg.pathway	hsa00100	Steroid biosynthesis - Homo sapiens (human)	skos:exactMatch	kegg.pathway	hsa00140	Steroid hormone biosynthesis - Homo sapiens (human)
kegg.pathway	hsa00100	Steroid biosynthesis - Homo sapiens (human)	BFO:0000050	reactome	R-HSA-1430728	Metabolism
kegg.pathway	hsa00100	Steroid biosynthesis - Homo sapiens (human)	BFO:0000050	reactome	R-HSA-8957322	Metabolism of steroids
kegg.pathway	hsa00100	Steroid biosynthesis - Homo sapiens (human)	skos:exactMatch	wikipathways	WP496	Steroid Biosynthesis
kegg.pathway	hsa00100	Steroid biosynthesis - Homo sapiens (human)	skos:exactMatch	wikipathways	WP496	Steroid Biosynthesis
kegg.pathway	hsa00120	Primary bile acid biosynthesis - Homo sapiens (human)	BFO:0000050	decopath	DC1-3-3-4	Bile acid biosynthesis
kegg.pathway	hsa00120	Primary bile acid biosynthesis - Homo sapiens (human)	BFO:0000050	reactome	R-HSA-1430728	Metabolism
kegg.pathway	hsa00120	Primary bile acid biosynthesis - Homo sapiens (human)	BFO:0000050	reactome	R-HSA-192105	Synthesis of bile acids and bile salts
kegg.pathway	hsa00120	Primary bile acid biosynthesis - Homo sapiens (human)	BFO:0000050	reactome	R-HSA-193368	Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol
kegg.pathway	hsa00120	Primary bile acid biosynthesis - Homo sapiens (human)	BFO:0000050	reactome	R-HSA-193775	Synthesis of bile acids and bile salts via 24-hydroxycholesterol
kegg.pathway	hsa00120	Primary bile acid biosynthesis - Homo sapiens (human)	BFO:0000050	reactome	R-HSA-194068	Bile acid and bile salt metabolism
kegg.pathway	hsa00130	Ubiquinone and other terpenoid-quinone biosynthesis - Homo sapiens (human)	BFO:0000050	reactome	R-HSA-1430728	Metabolism
kegg.pathway	hsa00130	Ubiquinone and other terpenoid-quinone biosynthesis - Homo sapiens (human)	BFO:0000050	reactome	R-HSA-196854	Metabolism of vitamins and cofactors
kegg.pathway	hsa00140	Steroid hormone biosynthesis - Homo sapiens (human)	BFO:0000050	decopath	DC1-3-4-1	Steroid biosynthesis
kegg.pathway	hsa00140	Steroid hormone biosynthesis - Homo sapiens (human)	BFO:0000050	reactome	R-HSA-1430728	Metabolism
kegg.pathway	hsa00140	Steroid hormone biosynthesis - Homo sapiens (human)	BFO:0000050	reactome	R-HSA-196071	Metabolism of steroid hormones
kegg.pathway	hsa00140	Steroid hormone biosynthesis - Homo sapiens (human)	skos:exactMatch	wikipathways	WP496	Steroid Biosynthesis
kegg.pathway	hsa00190	Oxidative phosphorylation - Homo sapiens (human)	BFO:0000050	decopath	DC1-6-3	Oxidative phosphorylation
kegg.pathway	hsa00190	Oxidative phosphorylation - Homo sapiens (human)	BFO:0000050	reactome	R-HSA-1428517	The citric acid (TCA) cycle and respiratory electron transport
kegg.pathway	hsa00190	Oxidative phosphorylation - Homo sapiens (human)	BFO:0000050	reactome	R-HSA-1430728	Metabolism
kegg.pathway	hsa00190	Oxidative phosphorylation - Homo sapiens (human)	skos:exactMatch	reactome	R-HSA-163210	Formation of ATP by chemiosmotic coupling
kegg.pathway	hsa00190	Oxidative phosphorylation - Homo sapiens (human)	skos:exactMatch	wikipathways	WP623	Oxidative phosphorylation
kegg.pathway	hsa00190	Oxidative phosphorylation - Homo sapiens (human)	skos:exactMatch	wikipathways	WP623	Oxidative phosphorylation
kegg.pathway	hsa00220	Arginine biosynthesis - Homo sapiens (human)	BFO:0000050	decopath	DC1-1-12	Arginine biosynthesis
