Source Resource	Source ID	Source Name	Mapping Type	Target Resource	Target ID	Target Name
wikipathways	WP727	Monoamine Transport	BFO:0000050	pathbank	PW000017	Catecholamine Biosynthesis
wikipathways	WP3594	Circadian rythm related genes	BFO:0000050	pathbank	PW091851	Circadian Rhythms
pathbank	PW000005	Citric Acid Cycle	skos:exactMatch	wikipathways	WP78	TCA Cycle 
pathbank	PW065057	Classical Complement Pathway	skos:exactMatch	wikipathways	WP545	Complement Activation
pathbank	PW065057	Classical Complement Pathway	BFO:0000050	wikipathways	WP558	Complement and Coagulation Cascades 
pathbank	PW000562	Coagulation	BFO:0000050	wikipathways	WP558	Complement and Coagulation Cascades 
pathbank	PW064819	Complement Pathway	skos:exactMatch	wikipathways	WP545	Complement Activation
pathbank	PW064819	Complement Pathway	BFO:0000050	wikipathways	WP558	Complement and Coagulation Cascades 
pathbank	PW000442	Corticotropin Activation of Cortisol Production	BFO:0000050	wikipathways	WP237	Glucocorticoid and Mineralcorticoid Metabolism 
pathbank	PW000018	Cysteine Metabolism	BFO:0000050	wikipathways	WP3925	Amino Acid metabolism 
pathbank	PW000018	Cysteine Metabolism	BFO:0000050	wikipathways	WP497	Urea cycle and metabolism of amino groups 
pathbank	PW000456	DNA Replication Fork	BFO:0000050	wikipathways	WP466	DNA Replication 
pathbank	PW016768	De Novo Triacylglycerol Biosynthesis	BFO:0000050	wikipathways	WP325	Triacylglyceride Synthesis 
pathbank	PW064815	EGF Signalling Pathway	BFO:0000050	wikipathways	WP437	EGF/EGFR Signaling Pathway 
pathbank	PW031778	Estrone Metabolism	BFO:0000050	wikipathways	WP697	Estrogen metabolism 
pathbank	PW000167	Fatty Acid Biosynthesis	skos:exactMatch	wikipathways	WP357	Fatty Acid Biosynthesis 
pathbank	PW000024	Folate Metabolism	skos:exactMatch	wikipathways	WP176	Folate Metabolism 
wikipathways	WP2597	Secretion of Hydrochloric Acid in Parietal Cells	BFO:0000050	pathbank	PW000565	Gastric Acid Production
pathbank	PW000152	Gluconeogenesis	BFO:0000050	wikipathways	WP534	Glycolysis and Gluconeogenesis 
pathbank	PW000003	Glutamate Metabolism	BFO:0000050	wikipathways	WP497	Urea cycle and metabolism of amino groups 
pathbank	PW000003	Glutamate Metabolism	BFO:0000050	wikipathways	WP3925	Amino Acid metabolism
pathbank	PW002366	Glutaminolysis and Cancer	BFO:0000050	wikipathways	WP1971	Integrated Cancer Pathway
pathbank	PW000004	Glutathione Metabolism	skos:exactMatch	wikipathways	WP100	Glutathione metabolism 
pathbank	PW000157	Glycine and Serine Metabolism	BFO:0000050	wikipathways	WP497	Urea cycle and metabolism of amino groups 
pathbank	PW000157	Glycine and Serine Metabolism	BFO:0000050	wikipathways	WP3925	Amino Acid metabolism
pathbank	PW000146	Glycolysis	BFO:0000050	wikipathways	WP534	Glycolysis and Gluconeogenesis 
pathbank	PW064811	Growth Hormone Signaling Pathway	BFO:0000050	wikipathways	WP2657	Growth hormone receptor signaling (Homo sapiens)
pathbank	PW000043	Histidine Metabolism	BFO:0000050	wikipathways	WP3925	Amino Acid metabolism 
pathbank	PW000454	Insulin Signalling	skos:exactMatch	wikipathways	WP3634	Insulin signalling in human adipocytes (normal condition) 
pathbank	PW000454	Insulin Signalling	BFO:0000050	wikipathways	WP661	Glucose Homeostasis 
pathbank	PW122328	Kandutsch-Russell Pathway (Cholesterol Biosynthesis)	BFO:0000050	wikipathways	WP197	Cholesterol Biosynthesis 
pathbank	PW122328	Kandutsch-Russell Pathway (Cholesterol Biosynthesis)	BFO:0000050	wikipathways	WP496	Steroid Biosynthesis 
pathbank	PW000028	Ketone Body Metabolism	skos:exactMatch	wikipathways	WP311	Synthesis and Degradation of Ketone Bodies 
pathbank	PW064906	Lectin-Induced Complement Pathway	BFO:0000050	wikipathways	WP558	Complement and Coagulation Cascades 
pathbank	PW064906	Lectin-Induced Complement Pathway	BFO:0000050	wikipathways	WP545	Complement Activation 
pathbank	PW000659	Leucine Stimulation on Insulin Signaling	BFO:0000050	wikipathways	WP3634	Insulin signalling in human adipocytes (normal condition) 
pathbank	PW000029	Lysine Degradation	BFO:0000050	wikipathways	WP3925	Amino Acid metabolism 
pathbank	PW000173	Mitochondrial Beta-Oxidation of Long Chain Saturated Fatty Acids	skos:exactMatch	wikipathways	WP368	Mitochondrial LC-Fatty Acid Beta-Oxidation 
pathbank	PW000173	Mitochondrial Beta-Oxidation of Long Chain Saturated Fatty Acids	BFO:0000050	wikipathways	WP143	Fatty Acid Beta Oxidation 
pathbank	PW000172	Mitochondrial Beta-Oxidation of Medium Chain Saturated Fatty Acids	BFO:0000050	wikipathways	WP143	Fatty Acid Beta Oxidation 
pathbank	PW000171	Mitochondrial Beta-Oxidation of Short Chain Saturated Fatty Acids	BFO:0000050	wikipathways	WP143	Fatty Acid Beta Oxidation 
pathbank	PW000165	Mitochondrial Electron Transport Chain	skos:exactMatch	wikipathways	WP111	Electron Transport Chain 
pathbank	PW084315	NAD+ Signalling Pathway (Cancer)	BFO:0000050	wikipathways	WP1971	Integrated Cancer Pathway 
wikipathways	WP4210	Tryptophan catabolism leading to NAD+ production	BFO:0000050	pathbank	PW000151	Nicotinate and Nicotinamide Metabolism
wikipathways	WP1600	Nicotine Metabolism	BFO:0000050	pathbank	PW000151	Nicotinate and Nicotinamide Metabolism
wikipathways	WP3644	NAD+ metabolism	BFO:0000050	pathbank	PW000151	Nicotinate and Nicotinamide Metabolism
wikipathways	WP3645	NAD+ biosynthetic pathways	BFO:0000050	pathbank	PW000151	Nicotinate and Nicotinamide Metabolism
wikipathways	WP2485	NAD Biosynthesis II (from tryptophan)	BFO:0000050	pathbank	PW000151	Nicotinate and Nicotinamide Metabolism
wikipathways	WP531	Mismatch repair	BFO:0000050	pathbank	PW000457	Nucleotide Excision Repair 
wikipathways	WP186	Homologous recombination	BFO:0000050	pathbank	PW000457	Nucleotide Excision Repair 
pathbank	PW000031	Nucleotide Sugars Metabolism	BFO:0000050	wikipathways	WP404	Nucleotide Metabolism 
pathbank	PW064774	P53 Signaling Pathway	BFO:0000050	wikipathways	WP1772	Apoptosis Modulation and Signaling 
pathbank	PW000055	Pentose Phosphate Pathway	skos:exactMatch	wikipathways	WP134	Pentose Phosphate Pathway 
pathbank	PW000055	Pentose Phosphate Pathway	BFO:0000050	wikipathways	WP534	Glycolysis and Gluconeogenesis 
pathbank	PW101384	Protein Synthesis: Alanine	BFO:0000050	wikipathways	WP106	Alanine and aspartate metabolism 
pathbank	PW101384	Protein Synthesis: Alanine	BFO:0000050	wikipathways	WP3925	Amino Acid metabolism 
pathbank	PW101384	Protein Synthesis: Alanine	BFO:0000050	wikipathways	WP550	Biogenic Amine Synthesis 
pathbank	PW112896	Protein Synthesis: Arginine	BFO:0000050	wikipathways	WP3925	Amino Acid metabolism 
pathbank	PW112896	Protein Synthesis: Arginine	BFO:0000050	wikipathways	WP550	Biogenic Amine Synthesis 
pathbank	PW112910	Protein Synthesis: Asparagine	BFO:0000050	wikipathways	WP3925	Amino Acid metabolism 
pathbank	PW112910	Protein Synthesis: Asparagine	BFO:0000050	wikipathways	WP550	Biogenic Amine Synthesis 
pathbank	PW112916	Protein Synthesis: Aspartic Acid	BFO:0000050	wikipathways	WP106	Alanine and aspartate metabolism 
pathbank	PW112916	Protein Synthesis: Aspartic Acid	BFO:0000050	wikipathways	WP3925	Amino Acid metabolism 
pathbank	PW112916	Protein Synthesis: Aspartic Acid	BFO:0000050	wikipathways	WP550	Biogenic Amine Synthesis 
pathbank	PW112918	Protein Synthesis: Cysteine	BFO:0000050	wikipathways	WP3925	Amino Acid metabolism 
pathbank	PW112918	Protein Synthesis: Cysteine	BFO:0000050	wikipathways	WP550	Biogenic Amine Synthesis 
pathbank	PW112922	Protein Synthesis: Glutamic Acid	BFO:0000050	wikipathways	WP3925	Amino Acid metabolism 
pathbank	PW112922	Protein Synthesis: Glutamic Acid	BFO:0000050	wikipathways	WP550	Biogenic Amine Synthesis 
pathbank	PW112920	Protein Synthesis: Glutamine	BFO:0000050	wikipathways	WP3925	Amino Acid metabolism 
pathbank	PW112920	Protein Synthesis: Glutamine	BFO:0000050	wikipathways	WP550	Biogenic Amine Synthesis 
pathbank	PW112928	Protein Synthesis: Glycine	BFO:0000050	wikipathways	WP3925	Amino Acid metabolism 
pathbank	PW112928	Protein Synthesis: Glycine	BFO:0000050	wikipathways	WP550	Biogenic Amine Synthesis 
pathbank	PW112929	Protein Synthesis: Histidine	BFO:0000050	wikipathways	WP3925	Amino Acid metabolism 
pathbank	PW112929	Protein Synthesis: Histidine	BFO:0000050	wikipathways	WP550	Biogenic Amine Synthesis 
pathbank	PW112930	Protein Synthesis: Isoleucine	BFO:0000050	wikipathways	WP3925	Amino Acid metabolism 
pathbank	PW112930	Protein Synthesis: Isoleucine	BFO:0000050	wikipathways	WP550	Biogenic Amine Synthesis 
pathbank	PW112931	Protein Synthesis: Leucine	BFO:0000050	wikipathways	WP3925	Amino Acid metabolism 
pathbank	PW112931	Protein Synthesis: Leucine	BFO:0000050	wikipathways	WP550	Biogenic Amine Synthesis 
pathbank	PW112932	Protein Synthesis: Lysine	BFO:0000050	wikipathways	WP3925	Amino Acid metabolism 
pathbank	PW112932	Protein Synthesis: Lysine	BFO:0000050	wikipathways	WP550	Biogenic Amine Synthesis 
pathbank	PW112933	Protein Synthesis: Methionine	BFO:0000050	wikipathways	WP3580	Methionine De Novo and Salvage Pathway 
pathbank	PW112933	Protein Synthesis: Methionine	BFO:0000050	wikipathways	WP3925	Amino Acid metabolism 
pathbank	PW112933	Protein Synthesis: Methionine	BFO:0000050	wikipathways	WP550	Biogenic Amine Synthesis 
pathbank	PW112934	Protein Synthesis: Phenylalanine	BFO:0000050	wikipathways	WP3925	Amino Acid metabolism 
pathbank	PW112934	Protein Synthesis: Phenylalanine	BFO:0000050	wikipathways	WP550	Biogenic Amine Synthesis 
pathbank	PW113695	Protein Synthesis: Proline	BFO:0000050	wikipathways	WP3925	Amino Acid metabolism 
pathbank	PW113695	Protein Synthesis: Proline	BFO:0000050	wikipathways	WP550	Biogenic Amine Synthesis 
pathbank	PW120517	Protein Synthesis: Serine	BFO:0000050	wikipathways	WP3925	Amino Acid metabolism 
pathbank	PW120517	Protein Synthesis: Serine	BFO:0000050	wikipathways	WP550	Biogenic Amine Synthesis 
pathbank	PW120525	Protein Synthesis: Threonine	BFO:0000050	wikipathways	WP3925	Amino Acid metabolism 
pathbank	PW120525	Protein Synthesis: Threonine	BFO:0000050	wikipathways	WP550	Biogenic Amine Synthesis 
pathbank	PW120526	Protein Synthesis: Tryptophan	BFO:0000050	wikipathways	WP3925	Amino Acid metabolism 
pathbank	PW120526	Protein Synthesis: Tryptophan	BFO:0000050	wikipathways	WP550	Biogenic Amine Synthesis 
pathbank	PW120527	Protein Synthesis: Tyrosine	BFO:0000050	wikipathways	WP3925	Amino Acid metabolism 
pathbank	PW120527	Protein Synthesis: Tyrosine	BFO:0000050	wikipathways	WP550	Biogenic Amine Synthesis 
pathbank	PW120528	Protein Synthesis: Valine	BFO:0000050	wikipathways	WP3925	Amino Acid metabolism 
pathbank	PW120528	Protein Synthesis: Valine	BFO:0000050	wikipathways	WP550	Biogenic Amine Synthesis 
pathbank	PW000052	Purine Metabolism	BFO:0000050	wikipathways	WP404	Nucleotide Metabolism 
pathbank	PW000160	Pyrimidine Metabolism	skos:exactMatch	wikipathways	WP4022	Pyrimidine metabolism
pathbank	PW000160	Pyrimidine Metabolism	BFO:0000050	wikipathways	WP404	Nucleotide Metabolism 
pathbank	PW000117	Pyruvate Dehydrogenase Complex Deficiency	BFO:0000050	wikipathways	WP2453	TCA Cycle and Deficiency of Pyruvate Dehydrogenase complex (PDHc)
pathbank	PW000164	Retinol Metabolism	BFO:0000050	wikipathways	WP716	Vitamin A and Carotenoid Metabolism
pathbank	PW000007	Selenoamino Acid Metabolism	skos:exactMatch	wikipathways	WP28	Selenium Metabolism and Selenoproteins 
pathbank	PW000007	Selenoamino Acid Metabolism	BFO:0000050	wikipathways	WP3925	Amino Acid metabolism 
pathbank	PW000007	Selenoamino Acid Metabolism	BFO:0000050	wikipathways	WP550	Biogenic Amine Synthesis 
pathbank	PW000148	Sphingolipid Metabolism	skos:exactMatch	wikipathways	WP1422	Sphingolipid Metabolism 
pathbank	PW068597	Stat3 Signaling Pathway	BFO:0000050	wikipathways	WP733	Serotonin Receptor 2 and STAT3 Signaling
pathbank	PW000050	Steroid Biosynthesis	skos:exactMatch	wikipathways	WP496	Steroid Biosynthesis 
pathbank	PW000564	Striated Muscle Contraction	skos:exactMatch	wikipathways	WP383	Striated Muscle Contraction 
pathbank	PW085652	Succinate Signalling During Inflammation	BFO:0000050	wikipathways	WP453	Inflammatory Response Pathway 
pathbank	PW067987	T Cell Receptor Signaling Pathway	BFO:0000050	wikipathways	WP2583	T-Cell Receptor and Co-stimulatory Signaling 
pathbank	PW067987	T Cell Receptor Signaling Pathway	skos:exactMatch	wikipathways	WP69	T-Cell antigen Receptor (TCR) Signaling Pathway 
pathbank	PW002359	The Oncogenic Action of 2-Hydroxyglutarate	BFO:0000050	wikipathways	WP1971	Integrated Cancer Pathway 
pathbank	PW002452	The Oncogenic Action of D-2-Hydroxyglutarate in Hydroxyglutaric aciduria	BFO:0000050	wikipathways	WP1971	Integrated Cancer Pathway 
pathbank	PW002363	The Oncogenic Action of Fumarate	BFO:0000050	wikipathways	WP1971	Integrated Cancer Pathway 
pathbank	PW002451	The Oncogenic Action of L-2-Hydroxyglutarate in Hydroxyglutaric aciduria	BFO:0000050	wikipathways	WP1971	Integrated Cancer Pathway 
pathbank	PW002360	The Oncogenic Action of Succinate	BFO:0000050	wikipathways	WP1971	Integrated Cancer Pathway 
pathbank	PW000693	Thyroid Hormone Synthesis	skos:exactMatch	wikipathways	WP1981	Thyroxine (Thyroid Hormone) Production 
pathbank	PW064909	Toll-Like Receptor Pathway 1	BFO:0000050	wikipathways	WP1449	Regulation of toll-like receptor signaling pathway 
pathbank	PW070606	Toll-Like Receptor Pathway 2	BFO:0000050	wikipathways	WP1449	Regulation of toll-like receptor signaling pathway 
pathbank	PW000163	Tryptophan Metabolism	skos:exactMatch	wikipathways	WP465	Tryptophan metabolism 
pathbank	PW000142	Tyrosine Metabolism	BFO:0000050	wikipathways	WP3925	Amino Acid metabolism 
pathbank	PW000142	Tyrosine Metabolism	BFO:0000050	wikipathways	WP550	Biogenic Amine Synthesis 
pathbank	PW064821	Ubiquitin-Proteasome Pathway	BFO:0000050	wikipathways	WP183	Proteasome Degradation 
pathbank	PW000162	Urea Cycle	BFO:0000050	wikipathways	WP497	Urea cycle and metabolism of amino groups 
pathbank	PW000051	Valine,Leucine,and Isoleucine Degradation	BFO:0000050	wikipathways	WP3925	Amino Acid metabolism
pathbank	PW078607	WNT Signaling Pathway	skos:exactMatch	wikipathways	WP428	Wnt Signaling Pathway 
pathbank	PW000011	beta-Alanine Metabolism	BFO:0000050	wikipathways	WP3925	Amino Acid metabolism 
pathbank	PW000011	beta-Alanine Metabolism	BFO:0000050	wikipathways	WP106	Alanine and aspartate metabolism 
pathbank	PW000011	beta-Alanine Metabolism	BFO:0000050	wikipathways	WP550	Biogenic Amine Synthesis 
pathbank	PW000011	beta-Alanine Metabolism	BFO:0000050	wikipathways	WP497	Urea cycle and metabolism of amino groups 
pathbank	PW090995	g-Secretase Mediated ErbB4 Signalling Pathway	BFO:0000050	wikipathways	WP673	ErbB Signaling Pathway
