Source Resource,Source ID,Source Name,Mapping Type,Target Resource,Target ID,Target Name
kegg,path:hsa05412,Arrhythmogenic right ventricular cardiomyopathy (ARVC) - Homo sapiens (human),equivalentTo,wikipathways,WP2118,Arrhythmogenic Right Ventricular Cardiomyopathy
kegg,path:hsa04662,B cell receptor signaling pathway - Homo sapiens (human),equivalentTo,wikipathways,WP23,B Cell Receptor Signaling Pathway
wikipathways,WP405,Eukaryotic Transcription Initiation,isPartOf,kegg,path:hsa03022,Basal transcription factors - Homo sapiens (human)
wikipathways,WP2289,Drug Induction of Bile Acid Pathway,isPartOf,kegg,path:hsa04976,Bile secretion - Homo sapiens (human)
wikipathways,WP106,Alanine and aspartate metabolism,isPartOf,kegg,path:hsa01230,Biosynthesis of amino acids - Homo sapiens (human)
wikipathways,WP497,Urea cycle and metabolism of amino groups,isPartOf,kegg,path:hsa01230,Biosynthesis of amino acids - Homo sapiens (human)
kegg,path:hsa01040,Biosynthesis of unsaturated fatty acids - Homo sapiens (human),isPartOf,wikipathways,WP357,Fatty Acid Biosynthesis
kegg,path:hsa05219,Bladder cancer - Homo sapiens (human),equivalentTo,wikipathways,WP2828,Bladder Cancer
kegg,path:hsa00232,Caffeine metabolism - Homo sapiens (human),isPartOf,wikipathways,WP3633,Caffeine and Theobromine metabolism
wikipathways,WP1946,Cori Cycle,isPartOf,kegg,path:hsa01200,Carbon metabolism - Homo sapiens (human)
wikipathways,WP134,Pentose Phosphate Pathway,isPartOf,kegg,path:hsa01200,Carbon metabolism - Homo sapiens (human)
wikipathways,WP534,Glycolysis and Gluconeogenesis,isPartOf,kegg,path:hsa01200,Carbon metabolism - Homo sapiens (human)
wikipathways,WP78,TCA Cycle,isPartOf,kegg,path:hsa01200,Carbon metabolism - Homo sapiens (human)
wikipathways,WP241,One Carbon Metabolism,isPartOf,kegg,path:hsa01200,Carbon metabolism - Homo sapiens (human)
kegg,path:hsa04110,Cell cycle - Homo sapiens (human),equivalentTo,wikipathways,WP179,Cell Cycle
wikipathways,WP45,G1 to S cell cycle control,isPartOf,kegg,path:hsa04110,Cell cycle - Homo sapiens (human)
kegg,path:hsa04062,Chemokine signaling pathway - Homo sapiens (human),equivalentTo,wikipathways,WP3929,Chemokine signaling pathway
wikipathways,WP197,Cholesterol Biosynthesis,isPartOf,kegg,path:hsa04979,Cholesterol metabolism - Homo sapiens (human)
wikipathways,WP3640,Imatinib and Chronic Myeloid Leukemia,isPartOf,kegg,path:hsa05220,Chronic myeloid leukemia - Homo sapiens (human)
wikipathways,WP3594,Circadian rythm related genes,isPartOf,kegg,path:hsa04710,Circadian rhythm - Homo sapiens (human)
kegg,path:hsa00020,Citrate cycle (TCA cycle) - Homo sapiens (human),equivalentTo,wikipathways,WP78,TCA Cycle
wikipathways,WP2453,TCA Cycle and Deficiency of Pyruvate Dehydrogenase complex (PDHc),isPartOf,kegg,path:hsa00020,Citrate cycle (TCA cycle) - Homo sapiens (human)
kegg,path:hsa05030,Cocaine addiction - Homo sapiens (human),isPartOf,wikipathways,WP2636,Common Pathways Underlying Drug Addiction
kegg,path:hsa04610,Complement and coagulation cascades - Homo sapiens (human),equivalentTo,wikipathways,WP558,Complement and Coagulation Cascades
wikipathways,WP545,Complement Activation,isPartOf,kegg,path:hsa04610,Complement and coagulation cascades - Homo sapiens (human)
kegg,path:hsa04927,Cortisol synthesis and secretion - Homo sapiens (human),isPartOf,wikipathways,WP237,Glucocorticoid and Mineralcorticoid Metabolism
kegg,path:hsa00270,Cysteine and methionine metabolism - Homo sapiens (human),isPartOf,wikipathways,WP3925,Amino Acid metabolism
wikipathways,WP3580,Methionine De Novo and Salvage Pathway,isPartOf,kegg,path:hsa00270,Cysteine and methionine metabolism - Homo sapiens (human)
kegg,path:hsa04060,Cytokine-cytokine receptor interaction - Homo sapiens (human),isPartOf,wikipathways,WP530,Cytokines and Inflammatory Response
kegg,path:hsa04060,Cytokine-cytokine receptor interaction - Homo sapiens (human),isPartOf,wikipathways,WP453,Inflammatory Response Pathway
kegg,path:hsa03030,DNA replication - Homo sapiens (human),equivalentTo,wikipathways,WP466,DNA Replication
wikipathways,WP1602,Nicotine Activity on Dopaminergic Neurons,isPartOf,kegg,path:hsa04728,Dopaminergic synapse - Homo sapiens (human)
wikipathways,WP2646,Lidocaine metabolism,isPartOf,kegg,path:hsa00982,Drug metabolism - cytochrome P450 - Homo sapiens (human)
wikipathways,WP1604,Codeine and Morphine Metabolism,isPartOf,kegg,path:hsa00982,Drug metabolism - cytochrome P450 - Homo sapiens (human)
wikipathways,WP3871,Valproic acid pathway,isPartOf,kegg,path:hsa00982,Drug metabolism - cytochrome P450 - Homo sapiens (human)
wikipathways,WP1600,Nicotine Metabolism,isPartOf,kegg,path:hsa00982,Drug metabolism - cytochrome P450 - Homo sapiens (human)
wikipathways,WP691,Tamoxifen metabolism,isPartOf,kegg,path:hsa00982,Drug metabolism - cytochrome P450 - Homo sapiens (human)
wikipathways,WP2816,Felbamate Metabolism,isPartOf,kegg,path:hsa00982,Drug metabolism - cytochrome P450 - Homo sapiens (human)
wikipathways,WP2491,Diclofenac Metabolic Pathway,isPartOf,kegg,path:hsa00982,Drug metabolism - cytochrome P450 - Homo sapiens (human)
wikipathways,WP1604,Codeine and Morphine Metabolism,isPartOf,kegg,path:hsa00983,Drug metabolism - other enzymes - Homo sapiens (human)
wikipathways,WP3633,Caffeine and Theobromine metabolism,isPartOf,kegg,path:hsa00983,Drug metabolism - other enzymes - Homo sapiens (human)
wikipathways,WP698,Glucuronidation,isPartOf,kegg,path:hsa00983,Drug metabolism - other enzymes - Homo sapiens (human)
wikipathways,WP694,Arylamine metabolism,isPartOf,kegg,path:hsa00983,Drug metabolism - other enzymes - Homo sapiens (human)
wikipathways,WP2816,Felbamate Metabolism,isPartOf,kegg,path:hsa00983,Drug metabolism - other enzymes - Homo sapiens (human)
wikipathways,WP2536,Colchicine Metabolic Pathway,isPartOf,kegg,path:hsa00983,Drug metabolism - other enzymes - Homo sapiens (human)
wikipathways,WP2826,Cocaine metabolism,isPartOf,kegg,path:hsa00983,Drug metabolism - other enzymes - Homo sapiens (human)
wikipathways,WP2645,Heroin metabolism,isPartOf,kegg,path:hsa00983,Drug metabolism - other enzymes - Homo sapiens (human)
kegg,path:hsa04512,ECM-receptor interaction - Homo sapiens (human),isPartOf,wikipathways,WP306,Focal Adhesion
kegg,path:hsa05213,Endometrial cancer - Homo sapiens (human),equivalentTo,wikipathways,WP4155,Endometrial cancer
kegg,path:hsa04012,ErbB signaling pathway - Homo sapiens (human),equivalentTo,wikipathways,WP673,ErbB Signaling Pathway
kegg,path:hsa04915,Estrogen signaling pathway - Homo sapiens (human),equivalentTo,wikipathways,WP712,Estrogen signaling pathway
kegg,path:hsa00061,Fatty acid biosynthesis - Homo sapiens (human),equivalentTo,wikipathways,WP357,Fatty Acid Biosynthesis
wikipathways,WP206,Fatty Acid Omega Oxidation,isPartOf,kegg,path:hsa00071,Fatty acid degradation - Homo sapiens (human)
wikipathways,WP1941,Peroxisomal beta-oxidation of tetracosanoyl-CoA,isPartOf,kegg,path:hsa00071,Fatty acid degradation - Homo sapiens (human)
wikipathways,WP368,Mitochondrial LC-Fatty Acid Beta-Oxidation,isPartOf,kegg,path:hsa00071,Fatty acid degradation - Homo sapiens (human)
wikipathways,WP143,Fatty Acid Beta Oxidation,isPartOf,kegg,path:hsa00071,Fatty acid degradation - Homo sapiens (human)
wikipathways,WP1941,Peroxisomal beta-oxidation of tetracosanoyl-CoA,isPartOf,kegg,path:hsa01212,Fatty acid metabolism - Homo sapiens (human)
wikipathways,WP368,Mitochondrial LC-Fatty Acid Beta-Oxidation,isPartOf,kegg,path:hsa01212,Fatty acid metabolism - Homo sapiens (human)
wikipathways,WP143,Fatty Acid Beta Oxidation,isPartOf,kegg,path:hsa01212,Fatty acid metabolism - Homo sapiens (human)
wikipathways,WP357,Fatty Acid Biosynthesis,isPartOf,kegg,path:hsa01212,Fatty acid metabolism - Homo sapiens (human)
kegg,path:hsa04510,Focal adhesion - Homo sapiens (human),equivalentTo,wikipathways,WP306,Focal Adhesion
wikipathways,WP4156,"Biosynthesis and regeneration of tetrahydrobiopterin (BH4) and catabolism of phenylalanine, including diseases",isPartOf,kegg,path:hsa00790,Folate biosynthesis - Homo sapiens (human)
kegg,path:hsa04727,GABAergic synapse - Homo sapiens (human),isPartOf,wikipathways,WP4159,GABA receptor Signaling
kegg,path:hsa04971,Gastric acid secretion - Homo sapiens (human),equivalentTo,wikipathways,WP2597,Secretion of Hydrochloric Acid in Parietal Cells
wikipathways,WP2363,Gastric Cancer Network 2,isPartOf,kegg,path:hsa05226,Gastric cancer - Homo sapiens (human)
wikipathways,WP2361,Gastric Cancer Network 1,isPartOf,kegg,path:hsa05226,Gastric cancer - Homo sapiens (human)
kegg,path:hsa04922,Glucagon signaling pathway - Homo sapiens (human),isPartOf,wikipathways,WP534,Glycolysis and Gluconeogenesis
kegg,path:hsa04922,Glucagon signaling pathway - Homo sapiens (human),isPartOf,wikipathways,WP1541,Energy Metabolism
kegg,path:hsa04922,Glucagon signaling pathway - Homo sapiens (human),isPartOf,wikipathways,WP500,Glycogen Metabolism
kegg,path:hsa00480,Glutathione metabolism - Homo sapiens (human),equivalentTo,wikipathways,WP100,Glutathione metabolism
wikipathways,WP2533,Glycerophospholipid Biosynthetic Pathway,isPartOf,kegg,path:hsa00561,Glycerolipid metabolism - Homo sapiens (human)
wikipathways,WP4153,"Degradation pathway of sphingolipids, including diseases",isPartOf,kegg,path:hsa00561,Glycerolipid metabolism - Homo sapiens (human)
wikipathways,WP325,Triacylglyceride Synthesis,isPartOf,kegg,path:hsa00561,Glycerolipid metabolism - Homo sapiens (human)
wikipathways,WP2533,Glycerophospholipid Biosynthetic Pathway,isPartOf,kegg,path:hsa00564,Glycerophospholipid metabolism - Homo sapiens (human)
wikipathways,WP325,Triacylglyceride Synthesis,isPartOf,kegg,path:hsa00564,Glycerophospholipid metabolism - Homo sapiens (human)
kegg,path:hsa00260,"Glycine, serine and threonine metabolism - Homo sapiens (human)",isPartOf,wikipathways,WP497,Urea cycle and metabolism of amino groups
kegg,path:hsa00260,"Glycine, serine and threonine metabolism - Homo sapiens (human)",isPartOf,wikipathways,WP3925,Amino Acid metabolism
kegg,path:hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human),equivalentTo,wikipathways,WP534,Glycolysis and Gluconeogenesis
kegg,path:hsa00604,Glycosphingolipid biosynthesis - ganglio series - Homo sapiens (human),isPartOf,wikipathways,WP1423,Ganglio Sphingolipid Metabolism
kegg,path:hsa00603,Glycosphingolipid biosynthesis - globo and isoglobo series - Homo sapiens (human),isPartOf,wikipathways,WP1424,Globo Sphingolipid Metabolism
kegg,path:hsa05332,Graft-versus-host disease - Homo sapiens (human),isPartOf,wikipathways,WP2328,Allograft Rejection
kegg,path:hsa04340,Hedgehog signaling pathway - Homo sapiens (human),equivalentTo,wikipathways,WP47,Hedgehog Signaling Pathway
kegg,path:hsa05225,Hepatocellular carcinoma - Homo sapiens (human),isPartOf,wikipathways,WP3646,Hepatitis C and Hepatocellular Carcinoma
kegg,path:hsa00340,Histidine metabolism - Homo sapiens (human),isPartOf,wikipathways,WP3925,Amino Acid metabolism
kegg,path:hsa03440,Homologous recombination - Homo sapiens (human),equivalentTo,wikipathways,WP186,Homologous recombination
wikipathways,WP3853,ERK Pathway in Huntington's Disease,isPartOf,kegg,path:hsa05016,Huntington's disease - Homo sapiens (human)
kegg,path:hsa04657,IL-17 signaling pathway - Homo sapiens (human),equivalentTo,wikipathways,WP2112,IL17 signaling pathway
kegg,path:hsa04931,Insulin resistance - Homo sapiens (human),isPartOf,wikipathways,WP1584,Type II diabetes mellitus
kegg,path:hsa04931,Insulin resistance - Homo sapiens (human),isPartOf,wikipathways,WP3635,Insulin signalling in human adipocytes (diabetic condition)
kegg,path:hsa04910,Insulin signaling pathway - Homo sapiens (human),isPartOf,wikipathways,WP3634,Insulin signalling in human adipocytes (normal condition)
kegg,path:hsa04910,Insulin signaling pathway - Homo sapiens (human),isPartOf,wikipathways,WP661,Glucose Homeostasis
kegg,path:hsa00785,Lipoic acid metabolism - Homo sapiens (human),isPartOf,wikipathways,WP3965,Lipid Metabolism Pathway
kegg,path:hsa00310,Lysine degradation - Homo sapiens (human),isPartOf,wikipathways,WP3925,Amino Acid metabolism
kegg,path:hsa04010,MAPK signaling pathway - Homo sapiens (human),equivalentTo,wikipathways,WP382,MAPK Signaling Pathway
wikipathways,WP400,p38 MAPK Signaling Pathway,isPartOf,kegg,path:hsa04010,MAPK signaling pathway - Homo sapiens (human)
wikipathways,WP422,MAPK Cascade,isPartOf,kegg,path:hsa04010,MAPK signaling pathway - Homo sapiens (human)
wikipathways,WP3633,Caffeine and Theobromine metabolism,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP3645,NAD+ biosynthetic pathways,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP2646,Lidocaine metabolism,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP1946,Cori Cycle,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP98,Prostaglandin Synthesis and Regulation,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP465,Tryptophan metabolism,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP357,Fatty Acid Biosynthesis,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP2645,Heroin metabolism,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP690,Polyol Pathway,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP1423,Ganglio Sphingolipid Metabolism,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP550,Biogenic Amine Synthesis,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP3580,Methionine De Novo and Salvage Pathway,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP694,Arylamine metabolism,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP534,Glycolysis and Gluconeogenesis,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP2436,Dopamine metabolism,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP528,Acetylcholine Synthesis,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP1604,Codeine and Morphine Metabolism,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP311,Synthesis and Degradation of Ketone Bodies,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP2525,Trans-sulfuration and one carbon metabolism,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP100,Glutathione metabolism,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP78,TCA Cycle,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP496,Steroid Biosynthesis,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP167,Eicosanoid Synthesis,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP2485,NAD Biosynthesis II (from tryptophan),isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP561,Heme Biosynthesis,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP2333,Trans-sulfuration pathway,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP623,Oxidative phosphorylation,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP4153,"Degradation pathway of sphingolipids, including diseases",isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP678,Arachidonate Epoxygenase / Epoxide Hydrolase,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP2878,PPAR Alpha Pathway,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP1941,Peroxisomal beta-oxidation of tetracosanoyl-CoA,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP3644,NAD+ metabolism,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP1422,Sphingolipid Metabolism,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP2453,TCA Cycle and Deficiency of Pyruvate Dehydrogenase complex (PDHc),isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP704,Methylation Pathways,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP1600,Nicotine Metabolism,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP325,Triacylglyceride Synthesis,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP229,Irinotecan Pathway,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP404,Nucleotide Metabolism,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP4156,"Biosynthesis and regeneration of tetrahydrobiopterin (BH4) and catabolism of phenylalanine, including diseases",isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP696,Benzo(a)pyrene metabolism,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP368,Mitochondrial LC-Fatty Acid Beta-Oxidation,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP3925,Amino Acid metabolism,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP197,Cholesterol Biosynthesis,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP2889,Oxytocin signaling,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP206,Fatty Acid Omega Oxidation,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP500,Glycogen Metabolism,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP2536,Colchicine Metabolic Pathway,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP3869,Cannabinoid receptor signaling,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP3585,Cytosine methylation,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP4210,Tryptophan catabolism leading to NAD+ production,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP43,Oxidation by Cytochrome P450,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP405,Eukaryotic Transcription Initiation,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP3933,Kennedy pathway from Sphingolipids,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP134,Pentose Phosphate Pathway,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP691,Tamoxifen metabolism,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP716,Vitamin A and Carotenoid Metabolism,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP699,Aflatoxin B1 metabolism,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP2190,One carbon donor,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP2533,Glycerophospholipid Biosynthetic Pathway,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP3940,One carbon metabolism and related pathways,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP237,Glucocorticoid and Mineralcorticoid Metabolism,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP241,One Carbon Metabolism,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP1531,Vitamin D Metabolism,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP1424,Globo Sphingolipid Metabolism,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP4022,Pyrimidine metabolism,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP106,Alanine and aspartate metabolism,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP3965,Lipid Metabolism Pathway,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP698,Glucuronidation,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP497,Urea cycle and metabolism of amino groups,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP2826,Cocaine metabolism,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP4174,Metabolism of Tetrahydrocannabinol (THC),isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP111,Electron Transport Chain,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP697,Estrogen metabolism,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP2491,Diclofenac Metabolic Pathway,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP4142,Metabolism of Spingolipids in ER and Golgi apparatus,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP2816,Felbamate Metabolism,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP143,Fatty Acid Beta Oxidation,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
wikipathways,WP176,Folate Metabolism,isPartOf,kegg,path:hsa01100,Metabolic pathways - Homo sapiens (human)
kegg,path:hsa03430,Mismatch repair - Homo sapiens (human),equivalentTo,wikipathways,WP531,Mismatch repair
kegg,path:hsa05032,Morphine addiction - Homo sapiens (human),isPartOf,wikipathways,WP2636,Common Pathways Underlying Drug Addiction
wikipathways,WP2513,Nanoparticle triggered regulated necrosis,isPartOf,kegg,path:hsa04217,Necroptosis - Homo sapiens (human)
wikipathways,WP501,"GPCRs, Class C Metabotropic glutamate, pheromone",isPartOf,kegg,path:hsa04080,Neuroactive ligand-receptor interaction - Homo sapiens (human)
wikipathways,WP334,"GPCRs, Class B Secretin-like",isPartOf,kegg,path:hsa04080,Neuroactive ligand-receptor interaction - Homo sapiens (human)
wikipathways,WP247,Small Ligand GPCRs,isPartOf,kegg,path:hsa04080,Neuroactive ligand-receptor interaction - Homo sapiens (human)
wikipathways,WP24,Peptide GPCRs,isPartOf,kegg,path:hsa04080,Neuroactive ligand-receptor interaction - Homo sapiens (human)
wikipathways,WP58,Monoamine GPCRs,isPartOf,kegg,path:hsa04080,Neuroactive ligand-receptor interaction - Homo sapiens (human)
wikipathways,WP455,"GPCRs, Class A Rhodopsin-like",isPartOf,kegg,path:hsa04080,Neuroactive ligand-receptor interaction - Homo sapiens (human)
wikipathways,WP2485,NAD Biosynthesis II (from tryptophan),isPartOf,kegg,path:hsa00760,Nicotinate and nicotinamide metabolism - Homo sapiens (human)
wikipathways,WP4210,Tryptophan catabolism leading to NAD+ production,isPartOf,kegg,path:hsa00760,Nicotinate and nicotinamide metabolism - Homo sapiens (human)
wikipathways,WP3644,NAD+ metabolism,isPartOf,kegg,path:hsa00760,Nicotinate and nicotinamide metabolism - Homo sapiens (human)
wikipathways,WP1600,Nicotine Metabolism,isPartOf,kegg,path:hsa00760,Nicotinate and nicotinamide metabolism - Homo sapiens (human)
wikipathways,WP3645,NAD+ biosynthetic pathways,isPartOf,kegg,path:hsa00760,Nicotinate and nicotinamide metabolism - Homo sapiens (human)
wikipathways,WP4159,GABA receptor Signaling,isPartOf,kegg,path:hsa05033,Nicotine addiction - Homo sapiens (human)
